Schema,Name,Result data type,Argument data types,Type,Volatility,Parallel,Owner,Security,Access privileges,Language,Source code,Description
pg_catalog,numeric_sortsupport,void,internal,func,immutable,safe,postgres,invoker,,internal,numeric_sortsupport,sort support
pg_catalog,numeric_sqrt,numeric,numeric,func,immutable,safe,postgres,invoker,,internal,numeric_sqrt,square root
pg_catalog,numeric_stddev_pop,numeric,internal,func,immutable,safe,postgres,invoker,,internal,numeric_stddev_pop,aggregate final function
pg_catalog,numeric_stddev_samp,numeric,internal,func,immutable,safe,postgres,invoker,,internal,numeric_stddev_samp,aggregate final function
pg_catalog,numeric_sub,numeric,"numeric, numeric",func,immutable,safe,postgres,invoker,,internal,numeric_sub,implementation of - operator
pg_catalog,numeric_sum,numeric,internal,func,immutable,safe,postgres,invoker,,internal,numeric_sum,aggregate final function
pg_catalog,numeric_support,internal,internal,func,immutable,safe,postgres,invoker,,internal,numeric_support,planner support for numeric length coercion
pg_catalog,numeric_uminus,numeric,numeric,func,immutable,safe,postgres,invoker,,internal,numeric_uminus,implementation of - operator
pg_catalog,numeric_uplus,numeric,numeric,func,immutable,safe,postgres,invoker,,internal,numeric_uplus,implementation of + operator
pg_catalog,numeric_var_pop,numeric,internal,func,immutable,safe,postgres,invoker,,internal,numeric_var_pop,aggregate final function
pg_catalog,numeric_var_samp,numeric,internal,func,immutable,safe,postgres,invoker,,internal,numeric_var_samp,aggregate final function
pg_catalog,numerictypmodin,integer,cstring[],func,immutable,safe,postgres,invoker,,internal,numerictypmodin,I/O typmod
pg_catalog,numerictypmodout,cstring,integer,func,immutable,safe,postgres,invoker,,internal,numerictypmodout,I/O typmod
pg_catalog,nummultirange,nummultirange,,func,immutable,safe,postgres,invoker,,internal,multirange_constructor0,nummultirange constructor
pg_catalog,nummultirange,nummultirange,numrange,func,immutable,safe,postgres,invoker,,internal,multirange_constructor1,nummultirange constructor
pg_catalog,nummultirange,nummultirange,VARIADIC numrange[],func,immutable,safe,postgres,invoker,,internal,multirange_constructor2,nummultirange constructor
pg_catalog,numnode,integer,tsquery,func,immutable,safe,postgres,invoker,,internal,tsquery_numnode,number of nodes
pg_catalog,numrange,numrange,"numeric, numeric",func,immutable,safe,postgres,invoker,,internal,range_constructor2,numrange constructor
pg_catalog,numrange,numrange,"numeric, numeric, text",func,immutable,safe,postgres,invoker,,internal,range_constructor3,numrange constructor
pg_catalog,numrange_subdiff,double precision,"numeric, numeric",func,immutable,safe,postgres,invoker,,internal,numrange_subdiff,float8 difference of two numeric values
pg_catalog,obj_description,text,oid,func,stable,safe,postgres,invoker,,sql,"BEGIN ATOMIC
 SELECT pg_description.description
    FROM pg_description
   WHERE ((pg_description.objoid = $1) AND (pg_description.objsubid = 0));
END","deprecated, use two-argument form instead"
pg_catalog,obj_description,text,"oid, name",func,stable,safe,postgres,invoker,,sql,"BEGIN ATOMIC
 SELECT pg_description.description
    FROM pg_description
   WHERE ((pg_description.objoid = $1) AND (pg_description.classoid = ( SELECT pg_class.oid
            FROM pg_class
           WHERE ((pg_class.relname = $2) AND (pg_class.relnamespace = ('pg_catalog'::regnamespace)::oid)))) AND (pg_description.objsubid = 0));
END",get description for object id and catalog name
pg_catalog,octet_length,integer,bit,func,immutable,safe,postgres,invoker,,internal,bitoctetlength,octet length
pg_catalog,octet_length,integer,bytea,func,immutable,safe,postgres,invoker,,internal,byteaoctetlen,octet length
pg_catalog,octet_length,integer,character,func,immutable,safe,postgres,invoker,,internal,bpcharoctetlen,octet length
pg_catalog,octet_length,integer,text,func,immutable,safe,postgres,invoker,,internal,textoctetlen,octet length
pg_catalog,oid,oid,bigint,func,immutable,safe,postgres,invoker,,internal,i8tooid,convert int8 to oid
pg_catalog,oideq,boolean,"oid, oid",func,immutable,safe,postgres,invoker,,internal,oideq,implementation of = operator
pg_catalog,oidge,boolean,"oid, oid",func,immutable,safe,postgres,invoker,,internal,oidge,implementation of >= operator
pg_catalog,oidgt,boolean,"oid, oid",func,immutable,safe,postgres,invoker,,internal,oidgt,implementation of > operator
pg_catalog,oidin,oid,cstring,func,immutable,safe,postgres,invoker,,internal,oidin,I/O
pg_catalog,oidlarger,oid,"oid, oid",func,immutable,safe,postgres,invoker,,internal,oidlarger,larger of two
pg_catalog,oidle,boolean,"oid, oid",func,immutable,safe,postgres,invoker,,internal,oidle,implementation of <= operator
pg_catalog,oidlt,boolean,"oid, oid",func,immutable,safe,postgres,invoker,,internal,oidlt,implementation of < operator
pg_catalog,oidne,boolean,"oid, oid",func,immutable,safe,postgres,invoker,,internal,oidne,implementation of <> operator
pg_catalog,oidout,cstring,oid,func,immutable,safe,postgres,invoker,,internal,oidout,I/O
pg_catalog,oidrecv,oid,internal,func,immutable,safe,postgres,invoker,,internal,oidrecv,I/O
pg_catalog,oidsend,bytea,oid,func,immutable,safe,postgres,invoker,,internal,oidsend,I/O
pg_catalog,oidsmaller,oid,"oid, oid",func,immutable,safe,postgres,invoker,,internal,oidsmaller,smaller of two
pg_catalog,oidvectoreq,boolean,"oidvector, oidvector",func,immutable,safe,postgres,invoker,,internal,oidvectoreq,implementation of = operator
pg_catalog,oidvectorge,boolean,"oidvector, oidvector",func,immutable,safe,postgres,invoker,,internal,oidvectorge,implementation of >= operator
pg_catalog,oidvectorgt,boolean,"oidvector, oidvector",func,immutable,safe,postgres,invoker,,internal,oidvectorgt,implementation of > operator
